ID,Name,Event,Status,Conclusion,Created At,Updated At,Duration (seconds)

"17697972825","GitHub Actions Metrics","workflow_dispatch","in_progress","null","2025-09-13T14:36:41Z","2025-09-13T14:36:45Z","4"
"17697962798","Main Push Metrics","workflow_dispatch","completed","success","2025-09-13T14:35:45Z","2025-09-13T14:36:16Z","31"
"17705179900","GitHub Actions Metrics","schedule","in_progress","null","2025-09-14T02:26:01Z","2025-09-14T02:26:05Z","4"
"17705171369","Main Push Metrics","schedule","completed","success","2025-09-14T02:25:09Z","2025-09-14T02:25:39Z","30"
"17697972825","GitHub Actions Metrics","workflow_dispatch","completed","success","2025-09-13T14:36:41Z","2025-09-13T14:37:15Z","34"
"17697962798","Main Push Metrics","workflow_dispatch","completed","success","2025-09-13T14:35:45Z","2025-09-13T14:36:16Z","31"
